MUNICIPIO;1 Dose (D1);2 Dose (D2);3 Dose (D3);Reforço Bivalente;1 Reforço;2 Reforço;3 Reforço;Dose Única* (DU);Dose Adicional** (DA)
RINOPOLIS;8546;8018;15;748;5048;2071;2;198;8
RIO CLARO;194069;180099;1012;33534;122251;57892;539;3760;690
RIO DAS PEDRAS;29451;27451;121;3130;18188;7623;17;780;66
RIO GRANDE DA SERRA;40721;35255;105;6327;24344;11718;94;1217;87
RIOLANDIA;10991;10305;18;2062;7537;3015;27;167;13
RIVERSUL;5636;5552;78;1158;4689;2468;14;110;20
ROSANA;16399;15590;111;3369;11659;5444;27;340;47
ROSEIRA;9940;9414;47;883;6393;2850;9;223;19
RUBIACEA;2834;2708;29;567;2123;1022;19;41;11
RUBINEIA;3250;3091;12;656;2223;1141;2;45;10
SABINO;5105;4785;11;566;3540;1761;9;109;11
SAGRES;2369;2243;17;226;1477;640;6;37;4
SALES;5938;5864;44;711;3937;1495;1;121;27
SALES OLIVEIRA;10563;10341;60;1244;7528;3492;3;257;30
SALESOPOLIS;16826;16096;101;3300;11149;4721;14;332;37
SALMOURAO;4626;4368;19;552;3284;1258;2;106;4
SALTINHO;7893;7598;41;906;5196;2282;9;242;18
SALTO;118779;111012;1035;24513;77501;39167;440;2452;399
SALTO DE PIRAPORA;41952;39396;155;7105;26872;13683;1176;984;96
SALTO GRANDE;8427;7818;49;1333;5598;2556;8;178;27
SANDOVALINA;3609;3432;8;579;2695;1327;3;65;5
SANTA ADELIA;13174;12739;86;1560;9276;3591;13;384;47
SANTA ALBERTINA;5897;5795;17;755;4375;1786;4;119;8
SANTA BARBARA D'OESTE;168275;157429;569;24420;103362;42523;542;3826;435
SANTA BRANCA;12930;12260;53;2917;8857;4070;26;284;28
SANTA CLARA D'OESTE;2415;2328;32;516;1986;983;1;30;6
SANTA CRUZ DA CONCEICAO;4260;4038;21;873;3350;1839;37;89;28
SANTA CRUZ DA ESPERANCA;2049;1962;10;296;1416;719;1;30;4
SANTA CRUZ DAS PALMEIRAS;27478;25963;117;3168;18519;7670;21;817;59
SANTA CRUZ DO RIO PARDO;44306;42800;188;6665;30938;13686;61;895;141
SANTA ERNESTINA;5605;5429;37;663;4173;2032;2;148;22
SANTA FE DO SUL;32631;31080;155;5177;21157;9362;65;538;92
SANTA GERTRUDES;22343;20368;101;2569;12531;4684;31;482;50
SANTA ISABEL;53048;49817;296;11996;37290;20303;97;988;111
SANTA LUCIA;7125;6752;20;1155;5106;2490;13;220;26
SANTA MARIA DA SERRA;5442;5128;16;519;3326;1342;68;127;6
SANTA MERCEDES;3034;2894;12;433;2200;823;0;52;9
SANTA RITA D'OESTE;2558;2506;18;487;1899;811;0;53;4
SANTA RITA DO PASSA QUATRO;24680;23311;147;3305;17676;9147;22;420;82
SANTA ROSA DE VITERBO;23253;22521;284;5039;17443;8270;60;587;65
SANTA SALETE;1658;1621;18;310;1417;586;1;28;12
SANTANA DA PONTE PENSA;1492;1483;3;242;1349;584;6;33;2
SANTANA DE PARNAIBA;149977;141615;1660;30561;110231;58308;306;3465;479
SANTO ANASTACIO;17357;16351;70;1712;11575;5441;10;420;34
SANTO ANDRE;671262;627069;4367;186650;489016;272938;2327;15642;3436
SANTO ANTONIO DA ALEGRIA;6807;6539;7;889;5393;2323;16;142;23
SANTO ANTONIO DE POSSE;22592;20761;115;3670;13961;6038;119;483;57
SANTO ANTONIO DO ARACANGUA;7528;7249;22;1053;5505;2596;16;221;14
SANTO ANTONIO DO JARDIM;5818;5574;27;763;4069;1661;5;157;6
SANTO ANTONIO DO PINHAL;6913;6527;37;1287;4422;1969;23;104;28
SANTO EXPEDITO;2887;2754;19;516;1938;896;5;44;5
SANTOPOLIS DO AGUAPEI;3574;3544;8;681;2842;1244;0;143;10
SANTOS;425358;399283;2074;110492;285368;153108;842;6156;1741
SAO BENTO DO SAPUCAI;11300;10930;79;2048;7698;3430;30;220;33
SAO BERNARDO DO CAMPO;776613;731925;8344;217428;572130;323941;2101;19209;3291
SAO CAETANO DO SUL;152523;146002;1314;49000;117524;69956;578;4454;811
SAO CARLOS;244357;233643;1834;61067;179284;95021;421;6069;1054
SAO FRANCISCO;2642;2628;20;558;2376;1199;1;44;1
SAO JOAO DA BOA VISTA;87837;82643;433;16070;59060;28512;195;1665;370
SAO JOAO DAS DUAS PONTES;2448;2367;12;433;1851;800;2;59;4
SAO JOAO DE IRACEMA;1823;1758;19;419;1527;841;6;35;4
SAO JOAO DO PAU D'ALHO;2136;2085;11;192;1534;584;1;25;3
SAO JOAQUIM DA BARRA;44937;43561;194;7456;32217;16224;195;1195;94
SAO JOSE DA BELA VISTA;7204;6949;55;828;5087;2226;26;210;13
SAO JOSE DO BARREIRO;3933;3834;30;629;2678;1013;0;78;8
SAO JOSE DO RIO PARDO;51682;48968;214;8465;36007;16892;104;1100;145
SAO JOSE DO RIO PRETO;459578;434845;4510;98901;314019;131687;1408;10676;2379
SAO JOSE DOS CAMPOS;671220;616995;2420;157096;426238;209637;1833;11770;1154
SAO LOURENCO DA SERRA;15066;13672;35;3271;9693;4822;59;316;33
SAO LUIZ DO PARAITINGA;10746;10512;142;3344;8873;5076;17;227;47
SAO MANUEL;34640;33337;204;7059;25483;12736;10;884;101
SAO MIGUEL ARCANJO;31493;29962;254;7268;23072;11546;94;752;99
SAO PAULO;12476242;11797526;161282;3420789;8894151;4768590;46681;285344;57964
SAO PEDRO;34655;32103;104;5779;21433;9557;46;614;71
SAO PEDRO DO TURVO;6927;6585;29;654;4312;1506;9;134;11
SAO ROQUE;84694;78025;535;19419;55019;28697;160;1638;246
SAO SEBASTIAO;85681;76649;289;9135;41784;15908;96;1465;187
SAO SEBASTIAO DA GRAMA;10162;9654;12;1443;7394;3684;12;260;25
SAO SIMAO;13439;12872;127;2135;9874;4800;56;313;29
SAO VICENTE;324679;297034;1240;61587;205519;96381;1118;5799;890
SARAPUI;9839;8886;47;1315;6042;2691;597;216;24
SARUTAIA;3692;3565;41;1061;2797;1596;5;62;7
SEBASTIANOPOLIS DO SUL;3334;3260;27;581;3118;1447;14;81;22
SERRA AZUL;13956;13094;23;2614;9887;4758;21;138;41
SERRA NEGRA;26893;25688;88;3770;18159;7129;29;579;61
SERRANA;47712;45760;399;8055;32814;15986;69;0;9
SERTAOZINHO;119508;113482;1350;25345;86497;37962;234;2975;367
SETE BARRAS;12325;11335;13;1219;6744;2855;17;198;16
SEVERINIA;14331;13743;97;2256;10894;4884;7;422;27
SILVEIRAS;6056;5868;50;1066;4702;1623;11;157;18
SOCORRO;37692;35949;90;5172;23805;10400;51;776;74
SOROCABA;689309;622597;4616;161344;440159;221302;2436;14541;2370
SUD MENNUCCI;7279;6995;87;1478;5655;3015;9;160;31
SUMARE;265866;243442;1154;31309;147907;60115;650;6667;467
SUZANAPOLIS;3330;3245;10;408;2292;1037;6;67;4
SUZANO;290543;268578;2861;70807;194864;97497;746;5834;721
TABAPUA;10843;10532;66;1849;7693;3274;17;238;23
TABATINGA;13910;13114;98;1951;9803;3931;15;435;28
TABOAO DA SERRA;264386;244810;1691;56835;174634;88176;533;5887;921
TACIBA;5766;5390;52;758;3559;1464;5;145;13
TAGUAI;12353;11973;119;2225;8756;3032;7;295;17
TAIACU;5646;5586;115;1618;4815;2086;14;144;12
TAIUVA;6601;6685;113;2369;6232;2430;30;238;22
TAMBAU;20087;18742;48;3050;13228;6305;16;442;41
TANABI;24272;23144;155;4667;17284;8274;28;505;77
TAPIRAI;7969;7456;203;1691;5338;2593;9;120;134
TAPIRATIBA;11942;11462;50;2236;9136;4713;4;261;36
TAQUARAL;2589;2544;4;120;2181;1323;261;56;13
TAQUARITINGA;50547;48619;257;8711;37920;20762;95;1119;235
TAQUARITUBA;24700;23854;433;10508;19480;7892;53;445;88
TAQUARIVAI;6092;5883;46;1028;4784;2359;12;122;21
TARABAI;6771;6398;60;1356;4864;2321;11;174;15
TARUMA;14050;13119;88;1177;8882;3060;13;334;25
TATUI;114950;106948;411;17670;74938;38840;15633;2250;653
TAUBATE;288241;268293;1004;55599;183265;88976;416;5308;1124
TEJUPA;4369;3982;27;755;2465;914;7;111;3
TEODORO SAMPAIO;21876;20473;222;4559;15401;5984;30;499;55
TERRA ROXA;7513;7230;39;1097;5661;2290;27;218;21
TIETE;35897;34109;133;5820;25751;11676;57;991;86
TIMBURI;2640;2538;20;620;2238;1375;27;42;9
TORRE DE PEDRA;2704;2654;36;742;1947;981;3;47;12
TORRINHA;8970;8563;39;1219;6202;2622;0;188;20
TRABIJU;1703;1653;19;259;1296;638;2;32;6
TREMEMBE;47029;44327;239;11165;33109;15896;136;937;142
TRES FRONTEIRAS;6055;5859;12;1072;4046;1802;5;120;32
TUIUTI;6362;6049;33;1181;4554;2160;16;141;23
TUPA;60125;57084;189;5962;39999;15975;63;1074;138
TUPI PAULISTA;15471;14784;74;4261;10971;5266;8;281;70
TURIUBA;1849;1817;18;222;1465;784;53;38;4
TURMALINA;1886;1841;13;428;1697;957;1;23;8
UBARANA;5369;5185;26;866;3878;1489;2;156;22
UBATUBA;92179;80668;377;12694;44656;17005;109;1347;210
UBIRAJARA;5041;4623;18;211;2577;798;6;81;7
UCHOA;9270;9122;75;1910;7297;3096;13;203;30
UNIAO PAULISTA;1634;1618;26;189;1205;482;0;34;4
URANIA;8185;7856;32;1145;5549;2535;9;178;21
URU;1368;1359;29;301;1291;684;4;29;4
URUPES;12861;12359;69;1484;9324;4134;71;299;35
VALENTIM GENTIL;13113;12578;69;1703;9359;3984;36;352;40
VALINHOS;116290;108294;603;18048;72265;32556;165;2388;499
VALPARAISO;23029;21591;72;4877;16404;8942;47;511;62
VARGEM;9638;9000;32;1517;6144;3064;14;199;11
VARGEM GRANDE DO SUL;39312;36635;171;5443;27504;12130;20;904;71
VARGEM GRANDE PAULISTA;49156;45025;602;12286;32717;16210;71;977;144
VARZEA PAULISTA;106312;98455;674;17995;58081;24450;232;2734;233
VERA CRUZ;9505;8971;29;1396;6332;2867;13;138;17
VINHEDO;72616;69076;502;13235;47600;20658;285;1667;223
VIRADOURO;17035;16452;68;3374;13180;6759;16;424;37
VISTA ALEGRE DO ALTO;7496;7287;47;587;5064;1616;0;244;11
VITORIA BRASIL;1791;1672;14;208;1169;478;3;28;3
VOTORANTIM;103026;97749;555;24448;69380;33982;279;2589;265
VOTUPORANGA;91098;86297;357;16285;60612;28947;75;1751;312
ZACARIAS;2424;2366;15;353;1785;640;3;62;3
