MUNICIPIO;1 Dose (D1);2 Dose (D2);3 Dose (D3);Reforço Bivalente;1 Reforço;2 Reforço;3 Reforço;Dose Única* (DU);Dose Adicional** (DA)
GABRIEL MONTEIRO;2672;2647;24;169;2157;1072;149;62;13
GALIA;6449;6344;60;3410;5433;2910;15;120;17
GARCA;40060;37758;159;6572;27555;12786;93;884;51
GASTAO VIDIGAL;3366;3238;20;618;2471;1099;0;113;10
GAVIAO PEIXOTO;4706;4582;73;989;3749;2163;31;135;14
GENERAL SALGADO;9576;9162;22;1106;6498;2697;2;187;17
GETULINA;10122;9606;27;2125;7318;3978;27;222;16
GLICERIO;4154;3923;14;520;2897;1523;10;115;18
GUAICARA;10911;10389;67;1393;7742;3169;13;286;28
GUAIMBE;5165;5037;34;1441;4026;1664;4;128;4
GUAIRA;37926;36554;248;8910;29472;15553;72;952;131
GUAPIACU;20101;18959;49;2463;13604;5593;11;424;44
GUAPIARA;17205;16407;137;2449;12298;5291;7;321;32
GUARA;18099;17146;114;2741;12790;6199;53;441;56
GUARACAI;7055;6799;23;694;4781;1566;7;165;12
GUARACI;9762;9500;116;1326;7481;3063;24;270;5
GUARANI D'OESTE;1980;1931;20;333;1551;757;1;23;9
GUARANTA;5953;5710;31;890;4236;1890;8;162;13
GUARARAPES;28945;27631;72;5192;20836;11103;26;680;83
GUARAREMA;31205;29583;335;8584;23078;11803;48;737;59
GUARATINGUETA;111011;102283;399;16734;65661;27665;167;2280;272
GUAREI;15065;14001;60;3595;10503;4935;27;341;63
GUARIBA;36009;34135;154;4837;25537;10027;104;986;108
GUARUJA;304352;267237;1479;55708;171908;76387;425;5585;708
GUARULHOS;1256734;1168568;9184;256395;805170;398758;2911;29592;3449
GUATAPARA;7446;7197;105;1526;5332;2623;12;200;22
GUZOLANDIA;4283;4133;19;445;3087;1321;2;98;14
HERCULANDIA;8040;7316;13;152;4257;1397;15;147;10
HOLAMBRA;15459;14505;101;2122;9687;3617;30;295;53
HORTOLANDIA;217993;205389;1308;38484;131162;59306;3940;5449;659
IACANGA;10390;9949;53;1804;7830;3044;2;351;30
IACRI;5948;5707;22;595;4161;1384;8;142;13
IARAS;8454;8408;71;3484;7120;3616;21;169;45
IBATE;31933;30025;157;4620;20737;9317;25;750;69
IBIRA;11219;10768;55;1837;7665;3038;4;287;18
IBIRAREMA;6156;5973;34;672;4200;2018;10;134;13
IBITINGA;55115;50956;219;8093;35925;16068;117;1137;148
IBIUNA;77116;68813;278;9437;44777;19560;73;1643;112
ICEM;7230;7102;23;2008;5767;2287;11;209;28
IEPE;7358;7240;75;992;5687;2574;3;156;25
IGARACU DO TIETE;21743;20558;83;3367;16025;8285;9;585;81
IGARAPAVA;24919;23224;50;3563;17026;8216;29;648;46
IGARATA;10679;10334;64;2309;7518;3883;37;200;31
IGUAPE;28114;26262;88;5889;18602;9514;24;471;62
ILHA COMPRIDA;13179;12305;113;3590;9830;4684;118;180;32
ILHA SOLTEIRA;24774;23786;81;1467;18515;9621;45;392;75
ILHABELA;37335;35705;278;6161;21920;8704;71;631;120
INDAIATUBA;243752;232940;823;51315;185494;110811;5300;5942;1127
INDIANA;4603;4417;18;653;3105;1375;4;80;5
INDIAPORA;3973;3894;64;1019;3113;1498;6;78;14
INUBIA PAULISTA;3406;3355;21;675;2632;1069;2;82;6
IPAUSSU;12588;11804;40;1688;7748;3256;24;235;36
IPERO;31843;30428;241;9235;21804;11341;203;847;70
IPEUNA;6196;5733;19;673;3477;1378;14;136;13
IPIGUA;5873;5676;138;1262;4186;1718;4;102;15
IPORANGA;3765;3592;24;713;2460;889;2;26;13
IPUA;14022;13323;49;2011;9787;5008;23;366;31
IRACEMAPOLIS;20647;19813;131;2676;12827;5654;62;551;44
IRAPUA;6628;6370;25;563;4542;1696;12;177;15
IRAPURU;7442;7175;19;2021;5814;2454;16;67;26
ITABERA;17474;17100;178;3877;14152;6544;37;346;129
ITAI;25897;24604;303;6847;19013;7998;45;604;96
ITAJOBI;15161;14678;47;1604;10134;4011;7;310;26
ITAJU;3436;3144;12;265;2000;781;8;82;5
ITANHAEM;111038;102680;622;29534;74592;39382;2608;1734;414
ITAOCA;3536;3515;124;1334;3193;1646;15;40;5
ITAPECERICA DA SERRA;154922;143382;763;32535;98298;47435;191;3148;320
ITAPETININGA;151088;138650;620;35340;103517;52364;401;2377;507
ITAPEVA;89912;85146;607;18335;64638;29769;256;1904;296
ITAPEVI;238006;211922;2542;44922;132588;58309;528;5279;545
ITAPIRA;68540;65272;213;10133;48217;22643;114;1590;181
ITAPIRAPUA PAULISTA;4343;4272;68;782;3466;1514;4;79;3
ITAPOLIS;37272;35081;160;5053;24497;10636;68;818;105
ITAPORANGA;14047;13586;104;3470;10317;4382;21;281;39
ITAPUI;12575;11811;38;1209;8367;3334;20;309;31
ITAPURA;3892;3653;12;747;2689;1156;5;68;7
ITAQUAQUECETUBA;344054;314318;2840;61926;210971;95102;523;7553;824
ITARARE;43047;41879;515;8204;31099;10994;30;987;115
ITARIRI;14055;12981;88;2200;7694;3167;16;283;36
ITATIBA;109550;102648;499;20862;70170;33750;249;2487;420
ITATINGA;19002;18465;477;6926;15260;5377;51;505;77
ITIRAPINA;16371;15550;75;4944;10919;6417;35;305;75
ITIRAPUA;5927;5563;18;861;3858;1615;28;141;7
ITOBI;7339;6864;12;887;4916;2271;26;177;4
ITU;168991;158361;1138;31129;110316;52703;403;4289;727
ITUPEVA;62948;59009;316;9183;38979;16232;128;1481;126
ITUVERAVA;35351;33249;172;5515;25823;12091;60;910;142
JABORANDI;5798;5665;20;855;4520;2090;9;163;13
JABOTICABAL;68600;65225;239;11782;49782;25233;135;1551;321
JACAREI;217084;203249;832;46622;147399;60104;474;4671;69
JACI;7331;7215;68;1170;5387;2196;6;165;23
JACUPIRANGA;15027;13641;31;1212;7631;2640;11;263;28
JAGUARIUNA;56095;53456;280;9462;35634;14595;130;1358;171
JALES;45562;42767;229;6495;28677;12339;28;712;106
JAMBEIRO;5570;5376;60;1313;4032;1953;4;166;10
JANDIRA;110762;102935;383;19514;66857;31198;218;2423;239
JARDINOPOLIS;42750;38956;205;7799;26182;10896;68;1303;100
JARINU;33835;31175;146;4457;18952;7389;35;591;49
JAU;123349;114883;374;11760;75523;30419;256;3003;242
JERIQUARA;3485;3329;21;562;2420;1088;2;62;9
JOANOPOLIS;13059;12180;124;2652;8480;4165;17;312;16
JOAO RAMALHO;4142;3976;26;610;2917;1339;4;101;16
JOSE BONIFACIO;33802;32262;91;4033;23262;10415;37;849;88
JULIO MESQUITA;4202;3942;17;448;2731;945;4;97;7
JUMIRIM;3393;3253;23;489;2383;1127;13;86;6
JUNDIAI;410801;394105;3730;104564;297570;150554;1917;10114;2187
JUNQUEIROPOLIS;19228;18448;71;3276;13451;5329;9;356;62
JUQUIA;16725;15384;43;2662;9353;4041;17;252;26
JUQUITIBA;31023;28238;166;4728;18231;8157;37;516;51
LAGOINHA;5238;5151;12;1684;4492;2404;32;82;21
LARANJAL PAULISTA;27029;25243;102;2920;17719;8520;2069;500;61
LAVINIA;10708;10675;31;2763;9323;2583;6;109;74
LAVRINHAS;6227;5844;59;1037;4112;1992;400;162;26
LEME;93212;88014;567;13384;60738;28930;273;2206;320
LENCOIS PAULISTA;61529;57134;143;6865;35854;14278;43;1394;110
LIMEIRA;271840;248908;748;27001;147494;64838;16264;5693;590
LINDOIA;6623;6361;22;567;4446;1748;5;196;14
LINS;70620;66317;171;11342;49908;24960;184;1536;231
LORENA;79498;71973;255;11811;48025;21750;199;1427;327
LOURDES;2131;2077;15;374;1713;958;4;44;20
LOUVEIRA;48624;46768;368;7879;32434;12971;89;1403;101
LUCELIA;19110;18310;57;4621;13936;6843;28;434;33
LUCIANOPOLIS;2526;2455;32;461;1816;737;6;43;12
LUIS ANTONIO;12316;11545;150;2545;8325;3609;22;356;18
LUIZIANIA;4701;4512;22;514;2900;1084;0;68;3
LUPERCIO;3963;3750;3;390;2549;1068;6;105;3
LUTECIA;2527;2425;6;329;1883;859;1;47;12
MACATUBA;14968;14438;31;2351;9713;3921;6;393;28
MACAUBAL;7126;6814;2;749;4632;2106;13;163;3
MACEDONIA;3728;3630;6;540;2966;1470;17;75;4
MAGDA;3043;2945;25;416;2262;750;0;55;2
MAIRINQUE;53088;49475;271;11615;36533;18982;146;1085;141
MAIRIPORA;87227;80095;417;15843;54505;26849;194;1923;214
MANDURI;9510;9283;126;2238;7310;3277;8;222;29
MARABA PAULISTA;4889;4694;35;1792;3982;1141;4;58;13
MARACAI;12328;11763;53;1663;8831;4285;24;253;20
MARAPOAMA;2967;2873;12;277;2001;613;5;71;3
MARIAPOLIS;3312;3236;4;386;2491;930;1;96;5
MARILIA;223107;207087;749;38402;137305;64931;341;3539;609
MARINOPOLIS;1830;1809;11;283;1620;744;1;39;7
MARTINOPOLIS;24378;23133;99;3586;16891;7608;71;389;62
MATAO;78015;74300;247;11238;53273;25276;63;1755;270
MAUA;390672;370400;4144;102605;280856;150466;1015;10667;1405
MENDONCA;6263;5945;27;1527;4398;2160;4;123;11
MERIDIANO;4061;3903;14;696;3084;1436;2;84;15
MESOPOLIS;2067;1990;4;225;1382;564;0;30;0
MIGUELOPOLIS;19065;17948;129;3246;13815;6943;11;482;67
MINEIROS DO TIETE;10865;10304;36;1485;7657;3319;7;227;22
MIRA ESTRELA;2888;2850;39;670;2346;1301;11;53;28
MIRACATU;18814;17273;37;1980;10339;4041;24;290;25
